study,date,researcher,country,site,religion,subject_id,subject_gender,subject_age,subject_job,subject_schedule,subject_livedhere,subject_lang,subject_marital,subject_hs,subject_liveswith,servicesperweek,specialrole,hurtwfeelings_anger,hurtwthoughts_anger,healtheffectbyproxy_anger,hurtviaspirit_anger,helpwthoughts_caring,helpviaspirit_caring,healtheffectbyproxy_caring,hurtwfeelings_envy,hurtwthoughts_envy,hurtviaspirit_envy,thoughtsharmppldirectly,spiritsusethoughtsharm,childexp_abs,forgetsurrounding_abs,poeticlanguage_abs,starepicture_abs,mindenvelopworld_abs,cloudshapes_abs,vividdaydream_abs,mysticalexp_abs,stepoutsidemyself_abs,textures_abs,doublyreal_abs,caughtupinmusic_abs,heavybody_abs,sensepresence_abs,woodfireimagine_abs,immersednature_abs,colormeaning_abs,wanderthoughtstask_abs,clearpastexp_abs,meaninglesstoothers_abs,actinginplay_abs,visualthoughts_abs,delightsmallthings_abs,organmusic_abs,changenoise_abs,vividsmellmemories_abs,synesthesiasound_abs,predictwords_abs,physicalmemories_abs,fascinatingvoice_abs,invisiblepresence_abs,sponthoughtsimages_abs,synesthesiasmell_abs,emosunset_abs,godviapeople,godviascript,godviamind,godvoxaloud,godcommpics,godviavisions,godviadreams,godguideviaknowing,godguideviasensations,godviabodyexperiences,godsenseplaceinbody,godviatouch,godviasmell,neartangiblegod,presencenotgod,presencedemon,beingentbody,seehearnotgod,whitelight,trmblshakespirtpwr,rushofspiritpwr,intenseemospiritpwr,timeslowpray,mindspiritexitbody,humanshapeshift,spiritbeingencounter,sleepparalysis,voxwhenalone,seethingscornereye
study 1,2017-07-14,Rsmith,Vanuatu,urban,charismatic,99050,Female,60,Not Working,N/a,5 Months,Nakanamanga,Maret finis (Married),No,"man o woman blong yu (Spouse),sam pikinini (Multiple children)",Everyday,1,2,2,1,1,NA,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0,1,1,1,1,1,1
study 1,2017-03-26,Emng,China,urban,charismatic,99051,Female,39,Entrepreneur Coaching,Unstable But Full Time,Born And Raised,Shanghainese,Married,Yes,"Partner,Mother,Father",2,1,0,0,0,1,0,0,0,3,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0.5,0,0,0,1,1,1,1,0,0.5,0,1,1,1
study 1,2017-05-06,Emng,China,rural,charismatic,99052,Male,69,Farmer,Unstable,Born And Raised,Henan Dialect,Married,No,"Spouse,Other relatives",1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,NA,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
study 1,2017-10-07,JBrahinsky,US,urban,local,99053,Female,48,Physicsl Therapist,"M,f 5 Hrs",15,Eng,Married,Yes,"Multiple children,Spouse",0.7,1,1,1,0,1,2,2,NA,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
study 1,2017-02-20,Faulino,Thailand,urban,charismatic,99054,Male,19,Unstable hours,Soap Business Personal,Entire Life,Thai,Single,Yes,Lives alone,3,0,0,1,1,2,0,0,1,0,0,0,2,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0,0,1,1,0
study 1,NA,Rsmith,Vanuatu,urban,local,99055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,0,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study 1,2017-04-28,Jdulin,Ghana,urban,local,99056,Male,30,Traditionalist,9,15,Fante,Single,No,"Mother,Friends/roommates,Partner",6,1,1,1,2,2,0,1,3,2,2,2,2,2,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1
study 1,2017-02-17,JBrahinsky,US,rural,charismatic,99057,Female,39,Student,All Day Every Day Hiurs A,30 Years,Spanish,Married,Yes,"Spouse,Multiple children,Sibling(s),Other relatives",3,1,2,2,2,NA,2,2,2,1,2,1,1,2,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0.5,0.5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
study 1,2017-09-10,Rsmith,Vanuatu,rural,charismatic,99058,Female,74,Garden,NA,NA,"Efate, Emao- Nakanamanga",Wido (Widowed),No,brata o sista (Sibling(s)),Sunday,1,1,0,2,1,0,1,0,1,NA,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,NA,NA,0.5,1,1,0,1,0
study 1,2017-02-17,JBrahinsky,US,rural,charismatic,99059,Female,53,Case Rec Tech At Prison,43286,17,English,Divorced,Yes,Child,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,NA,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
study 1,2018-03-29,JBrahinsky,US,urban,local,99060,Female,24,Nannying,20/wk,13,Tongan/ English,Single,Yes,"Mother,Father",1,0,2,0,0,1,0,0,0,1,1,0,2,2,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0
study 1,2017-10-07,JBrahinsky,US,urban,local,99061,Male,46,Med Rec Tech,43348,46,Eng,Single,Yes,Lives alone,1,1,2,0,0,0,1,2,0,2,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
study 1,2017-02-21,Faulino,Thailand,urban,charismatic,99062,Male,23,Unstable hours,"Study, Night Hotel Recept",5 Years,Thai,Single,Yes,Lives alone,5,1,1,0,0,0,3,0,1,2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.5,0,1,0,1,1,1,1,0.5,0,0,0,0.5,0.5,0,0,1,0,0,1,1,0,0,0,1,0,1
study 1,2017-07-15,VDzokoto,Ghana,rural,charismatic,99063,Female,43,Selling,14 hours,34 years,"Ga, Fante, (a Liberian Language)",Married Ana aware,No Oho/ dabi,Multiple children Menye mbofra pii tse,3,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
study 1,2017-08-10,Jdulin,Ghana,urban,local,99064,Female,36,Komfo,13hours,15,Fante,Divorced,No,Child,6,0,3,3,1,3,0,3,3,3,1,3,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
study 1,2017-06-08,Faulino,Thailand,urban,local,99065,Female,21,Unstable hours,Student And Bookstore,3 Years,Northeastern Thai,Single,Yes,Lives alone,Many Throughout Year,0,2,2,3,1,1,2,3,3,1,0,2,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1
study 1,2017-03-26,Emng,China,urban,charismatic,99066,Female,26,Advertising,Stable,Born And Raised,Shanghainese,Single,Yes,"Mother,Father",2,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0.5,0,0,1,1,1,1,1,1,0,1,0,1
study 1,2017-01-09,Emng,China,urban,local,99067,Male,39,Company Staff,Night/day Flip Regularly,Born And Raised,Shanghainese,Divorced,Yes,Multiple children,One,0,1,1,0,1,1,1,2,3,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0.5,0,1,0,0,1,0,1,1,0,0,0,1,0,1
study 1,2017-04-26,Emng,China,rural,charismatic,99068,Female,60,Farmer,Unstable,Grew Up Here,Henan Dialect,Married,No,Other relatives,3,0,2,0,0,0,0,0,NA,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,1,1,0
study 1,2017-02-19,Jdulin,Ghana,urban,charismatic,99069,Male,28,Training Pastor,60,8 Months,Ewe,Single,Yes,"Friends/roommates,Lives with over 5 people",2 Or 3,1,3,2,2,2,0,0,0,1,2,2,2,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,NA,1,0,0,1,1,1,1,1,1,1,1,1,NA,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1
study 1,2017-07-13,VDzokoto,Ghana,rural,local,99070,Male,35,Okomfo And Farmer,Varies,20 Years,"Fante, Some English",Widowed Woho kafo efi mu,No Oho/ dabi,Other relatives Ebusuafo,Daily,1,3,1,2,3,0,3,3,3,1,2,0,3,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1
study 1,2017-06-13,Faulino,Thailand,urban,local,99071,Male,38,Unstable hours,Communications,20+ Yrs,Thai C And Northern,Single,Yes,"Mother,Father",Daily Home Practice,0,2,2,1,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,NA,1,0,0,0,1,0,0,NA,1,1,1
study 1,2017-04-28,Jdulin,Ghana,urban,local,99072,Female,30,Traditionalist,7,14,Fante,Married,No,"Multiple children,Mother,Sibling(s)",When Necessary,1,3,3,3,3,3,3,1,3,3,3,3,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
study 1,2017-03-14,Rsmith,Vanuatu,urban,charismatic,99073,Male,21,Unemployed,N/a,3y,"Santo, Southwest",Singel (Single),Yes,"i bitim 5 (Lives with over 5 people),"" sam fren (olsem ol fren long skul) [Friends, like school friends] (Friends/roommates)""","Sunday, Evening Devotion",1,1,2,1,1,0,NA,3,2,1,NA,2,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,NA
study 1,NA,VDzokoto,Ghana,rural,local,99074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,1,2,1,1,1,0,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study 1,2017-05-06,Rsmith,Vanuatu,urban,charismatic,99075,Male,23,Construction,Normal,3y,Tanna Nehwal,Singel (Single),No,"brata o sista (Sibling(s)),sam pikinini (Multiple children),i bitim 5 (Lives with over 5 people)","Sunday, Youth Meetings",0,2,0,1,0,0,1,2,0,0,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
study 1,2017-03-03,Jdulin,Ghana,urban,charismatic,99076,Male,40,"Manager Of Telecomm Company, Real Estate",40,22 Years,Fante And Ewe,Married,Yes,"Child,Spouse",3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.5,0,0,0,0,1,1,1,0,0,0,0,0,1
study 1,2017-02-21,JBrahinsky,US,rural,charismatic,99077,Male,30,Farm- Missions,37419,30 Yr,Eng,Married,Yes,"Spouse,Multiple children",1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0
study 1,2017-03-12,Faulino,Thailand,urban,local,99078,Female,27,Unstable hours,Student Researcher,12 Years,Central Thai,Single,Yes,Mother,"Now More Weekly At Home, Convenience Wat",1,2,0,0,0,2,NA,3,2,0,NA,3,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,0.5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
study 1,2017-08-13,VDzokoto,Ghana,rural,charismatic,99079,Male,31,Driver,6am - 6 Or 7 Pm,25 Years,"Fante, English",Married Ana aware,Yes Nyew,Spouse Menye me kum/yer,3,1,1,1,1,1,1,1,3,3,1,1,2,3,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,NA,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0
study 1,2017-04-02,Emng,China,rural,charismatic,99080,Female,37,Credit Union Staff,Stable,Most Of Her Life,Henan Dialect,Married,No,"Spouse,Multiple children,Other relatives",3,1,1,NA,NA,2,0,2,0,1,0,1,1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.5,1,0
study 1,2017-05-11,JBrahinsky,US,urban,charismatic,99081,Female,39,Physician Liason,830-5,35,Eng/tagalog,Single,Yes,Lives alone,43163,1,2,0,1,2,2,2,1,2,2,2,3,3,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0
study 1,2017-02-11,Jdulin,Ghana,urban,charismatic,99082,Male,27,"Marketer, Clothing Distributor",10,27,Fante,Single,Yes,Friends/roommates,7 Days,1,1,2,2,2,0,0,0,2,3,2,3,3,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1
study 1,2017-06-20,Faulino,Thailand,urban,charismatic,99083,Female,23,Unstable hours/stable,Student And Service,5 Years,Northern Thai,Single,Yes,Sibling(s),5,1,2,0,1,1,0,0,2,1,0,1,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1
study 1,2017-06-13,Rsmith,Vanuatu,rural,charismatic,99084,Male,32,"Chief, Farmer",N/a,Full Life,Full Life,Blokem gel (Engaged),Yes,"gelfren o boyfren (Partner),wan pikinini (Child),stret mama (Mother)",2+,1,1,1,3,1,0,NA,2,2,0,1,0,2,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
study 1,2017-05-06,Emng,China,rural,charismatic,99085,Female,64,Farmer,Unstable,Born And Raised,Henan Dialect,Married,No,"Spouse,Other relatives",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,NA,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
study 1,2017-04-06,JBrahinsky,US,rural,local,99086,Male,40,School Principal,8-430,27,Eng,Married,Yes,"Spouse,Multiple children",0.25,1,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
study 1,2017-07-27,VDzokoto,Ghana,rural,charismatic,99087,Male,28,Electrician,5 Hours,12 Years,"Fante , Twi, English",Single,Yes Nyew,Mother Maame (nna),3,1,1,0,1,2,0,0,1,3,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
study 1,2017-03-02,Faulino,Thailand,urban,charismatic,99088,Female,38,Water Business,"9-5?, But Day Interview","From Lamphun, Close",Central Thai,"Divorced,Engaged",Yes,"Child,Mother,Father,Grandparent(s),Lives with over 5 people",3,1,3,3,1,0,3,0,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
study 1,NA,Rsmith,Vanuatu,urban,local,99089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,0,3,2,2,0,1,1,2,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study 1,2017-08-18,Rsmith,Vanuatu,rural,local,99090,Male,70,NA,NA,Whole Life,Sa,Maret finis (Married),No schooling,"man o woman blong yu (Spouse),sam pikinini (Multiple children)",NA,1,2,1,1,1,NA,1,NA,1,NA,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,NA,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0
study 1,2017-08-12,Emng,China,rural,local,99091,Female,71,Farmer,Unstable,Borm And Raised,Henanese,Married,No,"Other relatives,Child",Only When Something To Deal With,0,1,0,0,1,0,3,0,NA,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,NA,NA,1,1,1
study 1,2017-04-06,Faulino,Thailand,rural,charismatic,99092,Female,54,Unstable hours,Not Working,All Life,Northern,Widowed,No,Lives alone,3x,0,3,0,0,0,3,0,3,1,0,0,NA,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0
study 1,2017-05-11,JBrahinsky,US,urban,charismatic,99093,Male,33,Youth Non Profit Dir,43411,33,Eng,Married,Yes,"Spouse,Multiple children",43134,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
study 1,2017-06-06,Jdulin,Ghana,urban,local,99094,Female,37,Housewife,40,28,Twi,Married,Yes,Lives alone,Before Weekly Now Never,0,2,2,1,1,0,0,0,3,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1
study 1,2017-05-02,Emng,China,rural,charismatic,99095,Female,46,None,None,Born And Raised,Henan Dialect,Married,No,"Spouse,Multiple children",2,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.5,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
study 1,2017-08-08,Faulino,Thailand,urban,local,99096,Other,53,Unstable hours,Hair & SpiritMedium,Life,N Thai,Single,Yes,Lives alone,2x/month,NA,3,3,NA,3,0,NA,NA,0,0,0,NA,3,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,NA,0,1,1,1,0,1,1,1,1,NA,1,1,0,1,0,1,0,1,1,0,0,0,NA,NA,0,1,1,1
study 1,2017-04-26,JBrahinsky,US,rural,charismatic,99097,Male,43,Teacher High School,730-330,22,Eng,Married,Yes,"Spouse,Multiple children",1,0,3,0,0,0,0,1,0,0,0,0,0,NA,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0
study 1,2017-02-20,Rsmith,Vanuatu,urban,local,99098,Female,42,Haosgel,40 Hr,20,"Malakula, Southwest Bay",Maret finis (Married),Yes,"man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday, Weds",0,1,0,1,0,0,NA,3,1,1,0,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
study 1,2017-04-12,Faulino,Thailand,rural,local,99099,Male,27,Unstable hours,Thai Amway,From CD,Northern,Single,Yes,"Sibling(s),Mother,Father",NA,0,1,1,0,2,2,2,2,3,0,2,1,2,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1
study 1,2017-04-30,Rsmith,Vanuatu,rural,local,99100,Male,38,"Councillor, Not Regular",N/a,Around 20y,Sa,Maret finis (Married),Yes,"man o woman blong yu (Spouse),sam pikinini (Multiple children)",N/a,1,1,0,1,1,0,1,2,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,NA
study 1,2017-08-18,Emng,China,rural,local,99101,Female,60,None,NA,Born And Raised,Henanese,Married,No,Child,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA,1,0,0,0,0,1,1,0,1,0,1,1,0,1,NA,0,0,0,0,1,1
study 1,2017-04-27,Jdulin,Ghana,urban,local,99102,Male,65,Retiree,0,65,Fante,Married,No,Spouse,Yeary And When Necessary,1,3,1,0,1,0,1,1,1,1,2,2,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
study 1,2017-05-05,Faulino,Thailand,urban,charismatic,99103,Female,22,Unstable hours,Student,"3 Years, Fam From Here",Northern And Thai,Single,Yes,"Grandparent(s),Other relatives",4,1,2,3,3,3,3,0,2,3,0,3,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0.5,0,0,1,0,1,1,1,1,0,0,1,1,1
